timestamp,price,quantity
23,58678,2
23,58678,1
56,58649,2
171,58659,10
201,58705,1
213,58675,4
224,58677,5
241,58683,2
270,58649,1
300,58658,2
327,58683,1
374,58645,4
392,58629,10
412,58645,10
424,58642,2
441,58664,2
446,58652,1
446,58652,4
448,58625,8
453,58622,5
516,58636,2
531,58632,2
531,58632,4
552,58661,1
554,58664,1
555,58656,2
555,58660,1
578,58670,2
584,58658,8
590,58675,6
602,58675,1
620,58695,3
623,58703,7
686,58652,5
697,58662,5
704,58670,2
725,58679,1
726,58681,4
760,58624,5
769,58607,6
790,58604,1
794,58612,6
807,58632,2
823,58626,8
893,58610,8
921,58602,2
921,58601,1
925,58609,2
928,58613,1
928,58613,3
978,58588,2
982,58564,10
1014,58561,2
1015,58569,1
1016,58575,8
1021,58567,7
1040,58571,2
1043,58570,8
1073,58555,2
1100,58562,1
1100,58562,6
1146,58513,9
1149,58503,1
1151,58515,3
1151,58510,3
1154,58522,1
1205,58533,1
1210,58549,6
1213,58557,2
1213,58556,3
1219,58539,2
1244,58556,1
1244,58556,7
1399,58537,2
1454,58541,2
1470,58556,2
1539,58630,8
1549,58631,1
1581,58620,2
1636,58572,8
1652,58610,2
1652,58609,3
1657,58620,7
1664,58626,2
1668,58619,2
1668,58614,4
1705,58617,2
1709,58593,1
1709,58593,4
1743,58587,8
1756,58606,7
1780,58625,1
1803,58620,7
1811,58623,1
1836,58628,1
1836,58628,5
1857,58631,1
1899,58597,7
1902,58609,9
1906,58606,1
1923,58604,1
1923,58609,1
1923,58609,5
1929,58613,5
1936,58619,5
1952,58621,6
1985,58622,6
1992,58644,8
2018,58656,1
2066,58661,10
2132,58621,10
2137,58628,5
2146,58627,9
2159,58623,1
2159,58622,5
2169,58637,2
2177,58674,6
2189,58701,1
2222,58659,3
2233,58662,1
2233,58661,2
2236,58653,2
2253,58664,2
2253,58664,6
2255,58658,2
2265,58627,2
2282,58626,2
2285,58627,1
2320,58621,2
2333,58610,1
2338,58602,1
2366,58578,2
2401,58592,1
2401,58592,1
2440,58595,5
2459,58558,2
2459,58557,5
2485,58538,2
2485,58537,6
2505,58561,2
2514,58568,1
2514,58567,2
2554,58560,2
2583,58609,6
2587,58607,5
2640,58672,1
2649,58647,5
2710,58671,2
2746,58658,5
2761,58649,3
2761,58645,2
2761,58644,1
2774,58654,10
2780,58641,1
2806,58611,1
2829,58608,1
2849,58630,2
2855,58617,4
2900,58614,1
2909,58591,2
2909,58591,4
2929,58584,7
2943,58560,1
2958,58549,6
2969,58544,2
2982,58570,1
3026,58568,1
3026,58567,3
3045,58577,1
3051,58576,3
3056,58558,6
3060,58570,1
3135,58580,1
3135,58580,7
3154,58552,3
3174,58560,5
3197,58526,3
3241,58553,6
3241,58557,2
3276,58580,2
3276,58580,6
3295,58581,1
3295,58576,2
3411,58519,2
3411,58519,1
3418,58511,1
3443,58530,5
3447,58537,10
3466,58525,6
3502,58496,4
3541,58478,1
3553,58480,1
3587,58493,2
3587,58488,6
3590,58504,1
3652,58498,1
3652,58498,3
3660,58502,4
3671,58516,8
3692,58533,2
3699,58520,1
3702,58527,2
3705,58533,6
3708,58513,2
3713,58498,2
3713,58497,6
3762,58448,2
3807,58484,4
3809,58483,1
3823,58453,5
3841,58447,1
3867,58437,2
3867,58436,5
3877,58427,1
3877,58426,1
3883,58434,1
3890,58429,1
3907,58434,2
3926,58431,1
3930,58432,1
3945,58455,2
3951,58452,2
3952,58461,2
3985,58487,2
4002,58496,2
4047,58468,2
4048,58466,8
4080,58433,8
4098,58442,2
4101,58468,5
4118,58446,2
4118,58445,3
4118,58445,7
4150,58460,4
4167,58457,1
4168,58463,2
4168,58463,5
4217,58438,2
4218,58434,8
4249,58437,5
4270,58431,10
4304,58434,6
4319,58437,2
4338,58448,7
4342,58459,9
4388,58463,1
4415,58436,7
4428,58459,1
4449,58454,4
4468,58452,8
4479,58460,10
4560,58464,8
4588,58500,2
4602,58500,6
4624,58524,8
4689,58532,1
4692,58530,2
4711,58562,1
4762,58543,1
4766,58559,1
4769,58545,1
4770,58540,1
4778,58548,2
4778,58548,2
4796,58506,2
4839,58523,7
4903,58533,1
4906,58540,1
4917,58537,7
4980,58550,1
4980,58550,6
4996,58567,2
4997,58559,2
5013,58541,8
5029,58540,8
5039,58551,1
5075,58578,1
5087,58577,2
5110,58608,3
5124,58598,1
5176,58592,2
5176,58592,2
5239,58618,5
5247,58627,2
5260,58616,5
5277,58621,5
5308,58640,2
5308,58640,5
5312,58638,3
5316,58647,1
5316,58646,3
5338,58633,1
5370,58619,1
5373,58615,1
5384,58608,6
5464,58622,9
5500,58637,8
5523,58655,7
5554,58653,1
5554,58653,2
5565,58659,1
5613,58604,10
5676,58587,9
5694,58569,9
5732,58568,2
5736,58558,1
5736,58558,2
5739,58563,10
5760,58576,2
5773,58544,8
5806,58542,5
5815,58561,5
5823,58542,2
5823,58541,1
5845,58530,1
5865,58494,1
5873,58476,1
5885,58474,3
5967,58449,6
5998,58477,9
6002,58460,1
6002,58459,5
6007,58451,2
6028,58481,2
6033,58477,9
6038,58479,2
6059,58463,1
6059,58459,2
6060,58458,2
6074,58462,2
6096,58483,1
6104,58461,2
6140,58447,2
6150,58450,1
6151,58444,1
6169,58452,1
6169,58451,5
6179,58473,9
6202,58437,2
6208,58453,2
6269,58448,2
6273,58442,2
6340,58459,1
6376,58457,1
6376,58456,2
6389,58460,2
6395,58476,6
6409,58454,10
6443,58426,6
6453,58443,10
6454,58450,2
6459,58449,4
6486,58452,6
6494,58456,2
6494,58456,2
6517,58450,5
6525,58462,2
6558,58475,2
6558,58475,3
6562,58469,1
6571,58479,1
6571,58479,1
6580,58490,1
6588,58468,2
6609,58445,7
6638,58476,6
6643,58468,2
6684,58443,2
6719,58420,3
6754,58412,2
6754,58412,4
6806,58466,2
6894,58525,1
6894,58525,1
6899,58504,3
6914,58472,2
6966,58447,8
6980,58483,2
6980,58482,1
6993,58497,7
6994,58488,7
7002,58494,3
7036,58468,2
7036,58467,1
7040,58482,2
7141,58441,1
7141,58440,5
7205,58446,9
7208,58459,9
7213,58470,9
7219,58473,2
7241,58494,9
7246,58517,7
7259,58532,1
7262,58520,1
7262,58520,4
7301,58502,1
7307,58528,6
7341,58527,2
7355,58517,2
7379,58503,1
7379,58503,1
7395,58490,1
7395,58490,6
7411,58486,1
7412,58488,1
7414,58493,1
7427,58500,2
7431,58488,3
7577,58606,4
7579,58611,5
7580,58607,1
7581,58598,3
7646,58672,1
7651,58684,5
7706,58738,7
7718,58738,8
7746,58722,7
7788,58712,2
7794,58722,9
7802,58736,2
7853,58693,2
7853,58692,1
7894,58711,4
7906,58713,2
7965,58730,1
7983,58715,2
8022,58701,8
8044,58706,1
8044,58706,3
8044,58697,1
8103,58741,1
8132,58729,1
8186,58749,5
8201,58742,2
8218,58756,6
8221,58767,6
8291,58792,9
8294,58799,1
8305,58783,2
8307,58790,10
8312,58779,1
8324,58769,8
8325,58772,2
8325,58772,1
8341,58801,1
8341,58801,7
8390,58800,1
8396,58813,7
8401,58794,2
8410,58792,2
8423,58800,2
8430,58799,2
8444,58814,1
8469,58801,1
8540,58728,2
8540,58727,2
8545,58725,1
8550,58716,6
8581,58749,1
8596,58723,5
8635,58786,1
8637,58785,7
8672,58768,2
8672,58767,5
8689,58734,2
8705,58771,8
8717,58785,2
8717,58776,2
8724,58737,1
8725,58735,5
8744,58750,5
8746,58753,1
8753,58734,6
8889,58855,1
8901,58842,2
8905,58830,1
8918,58835,3
8927,58838,7
8930,58834,6
8989,58878,2
9061,58863,1
9061,58862,2
9121,58869,4
9159,58842,2
9168,58872,8
9173,58869,2
9192,58861,2
9192,58860,3
9211,58903,2
9217,58867,1
9220,58863,2
9221,58861,2
9234,58850,8
9245,58865,3
9263,58843,1
9263,58843,1
9266,58827,6
9267,58840,2
9274,58812,7
9292,58837,2
9314,58848,1
9351,58873,2
9351,58873,4
9358,58886,5
9385,58852,2
9385,58848,1
9385,58847,3
9402,58843,7
9407,58859,2
9412,58845,2
9424,58854,2
9424,58854,3
9431,58856,10
9471,58797,2
9506,58819,5
9507,58810,6
9572,58783,6
9584,58774,1
9615,58785,2
9626,58769,1
9647,58773,4
9667,58798,9
9686,58786,1
9707,58801,1
9716,58758,1
9779,58715,1
9787,58715,2
9835,58689,1
9835,58685,1
9835,58684,3
9837,58675,6
9848,58677,5
9856,58665,2
9858,58684,1
9874,58677,9
9882,58670,5
9900,58693,1
9900,58693,1
9937,58688,6
9963,58696,6
9970,58714,9
